"COMMUNITY AREA NAME","CENSUS BLOCK","BUILDING TYPE","BUILDING_SUBTYPE","KWH JANUARY 2010","KWH FEBRUARY 2010","KWH MARCH 2010","KWH APRIL 2010","KWH MAY 2010","KWH JUNE 2010","KWH JULY 2010","KWH AUGUST 2010","KWH SEPTEMBER 2010","KWH OCTOBER 2010","KWH NOVEMBER 2010","KWH DECEMBER 2010","TOTAL KWH","ELECTRICITY ACCOUNTS","ZERO KWH ACCOUNTS","THERM JANUARY 2010","THERM FEBRUARY 2010","THERM MARCH 2010","TERM APRIL 2010","THERM MAY 2010","THERM JUNE 2010","THERM JULY 2010","THERM AUGUST 2010","THERM SEPTEMBER 2010","THERM OCTOBER 2010","THERM NOVEMBER 2010","THERM DECEMBER 2010","TOTAL THERMS","GAS ACCOUNTS","KWH TOTAL SQFT","THERMS TOTAL SQFT","KWH MEAN 2010","KWH STANDARD DEVIATION 2010","KWH MINIMUM 2010","KWH 1ST QUARTILE 2010","KWH 2ND QUARTILE 2010","KWH 3RD QUARTILE 2010","KWH MAXIMUM 2010","KWH SQFT MEAN 2010","KWH SQFT STANDARD DEVIATION 2010","KWH SQFT MINIMUM 2010","KWH SQFT 1ST QUARTILE 2010","KWH SQFT 2ND QUARTILE 2010","KWH SQFT 3RD QUARTILE 2010","KWH SQFT MAXIMUM 2010","THERM MEAN 2010","THERM STANDARD DEVIATION 2010","THERM MINIMUM 2010","THERM 1ST QUARTILE 2010","THERM 2ND QUARTILE 2010","THERM 3RD QUARTILE 2010","THERM MAXIMUM 2010","THERMS SQFT MEAN 2010","THERMS SQFT STANDARD DEVIATION 2010","THERMS SQFT MINIMUM 2010","THERMS SQFT 1ST QUARTILE 2010","THERMS SQFT 2ND QUARTILE 2010","THERMS SQFT 3RD QUARTILE 2010","THERMS SQFT MAXIMUM 2010","TOTAL POPULATION","TOTAL UNITS","AVERAGE STORIES","AVERAGE BUILDING AGE","AVERAGE HOUSESIZE","OCCUPIED UNITS","OCCUPIED UNITS PERCENTAGE","RENTER-OCCUPIED HOUSING UNITS","RENTER-OCCUPIED HOUSING PERCENTAGE","OCCUPIED HOUSING UNITS"
"Near North Side","170310802022000","Commercial","Multi 7+","146,550","123,582","95,982","82,302","110,192","149,956","174,571","161,175","100,151","92,893","148,548","202,128","1,588,030","200","67","24,172","22,747","18,089","10,707","7,129","3,471","2,989","3,034","3,289","4,758","10,619","20,264","131,268","34","232,761","230,427","397,007.5","302,769.76","10,235","183,707","419,678","610,308","738,439","58,190.25","37,473.28","2,334","37,161","74,104.5","79,219.5","82,218","43,756","22,469.50","18,107","18,107","53,193","59,968","59,968","76,809","5,140.29","71,988","71,988","76,221","82,218","82,218","375","305","13","75.5","1.35","277","0.9081","131","0.473","277"
"Near North Side","170310802022000","Residential","Multi 7+","9,543","9,677","9,583","9,558","16,949","28,811","35,894","37,174","19,734","19,340","16,487","21,535","234,285","65","27","10,980","10,861","7,651","4,033","2,762","1,315","1,162","1,218","1,142","1,548","2,977","8,116","53,765","Less than 4","73,412","73,412","78,095","93,859.86","3,240","3,240","47,646","183,399","183,399","24,470.67","35,410.41","2,640","2,640","5,445","65,327","65,327","17,921.67","25,914.92","2,213","2,213","3,719","47,833","47,833","24,470.67","35,410.41","2,640","2,640","5,445","65,327","65,327","375","305","7.33","75.33","1.35","277","0.9081","131","0.473","277"
"Near North Side","170310802022000","Residential","Multi < 7","22,270","18,576","12,931","13,711","20,911","22,981","25,110","21,948","16,748","15,428","21,135","31,810","243,559","11","4","4,186","3,927","2,582","1,240","753","474","410","423","317","395","921","3,291","18,919","12","26,769","29,393","40,593.17","27,037.81","20,003","21,457","25,789","72,992","77,529","4,461.5","2,199.17","2,943","3,231","3,836.5","4,061","8,861","2,702.71","976.77","1,082","1,916","2,948","3,406","3,853","4,199","2,124.29","2,624","2,943","3,657","4,061","8,861","375","305","2.43","103.57","1.35","277","0.9081","131","0.473","277"
"Near North Side","170310802022000","Residential","Single Family","2,157","5,789","9,147","7,640","12,057","21,480","19,359","27,398","28,485","22,508","14,278","29,703","200,001","11","41","6,005","5,263","3,359","1,855","1,059","816","679","607","487","608","1,285","4,315","26,338","12","24,969","40,156","25,000.13","28,207.32","6,198","8,152.5","13,656.5","29,713.5","90,758","3,121.13","3,152.95","1,458","1,609","1,928","2,812","10,813","2,394.36","1,488.57","1,154","1,371","1,853","3,181","5,176","4,015.6","3,686.64","1,458","1,760","2,370","4,374","10,813","375","305","1","0.3","1.35","277","0.9081","131","0.473","277"
"Near North Side","170310802022001","Residential","Single Family","55,400","47,560","45,960","44,200","55,960","75,040","88,080","80,680","52,280","47,720","58,720","66,880","718,480","39","2","11,880","11,066","7,165","3,425","1,948","947","748","711","674","767","2,367","8,507","50,205","40","125,854","125,574","18,422.56","8,606.39","2,560","13,360","17,040","19,840","46,160","3,227.03","1,279.61","695","2,624","2,624","3,824","7,153","1,255.13","494.56","439","991","1,212.5","1,402","3,544","3,139.35","1,342.57","695","2,624","2,624","3,824","7,153","149","58","1","0","2.61","57","0.9828","3","0.053","57"
"Near North Side","170310803001001","Residential","Multi < 7","8,777","7,274","7,476","6,069","11,432","19,441","21,057","21,315","11,681","10,177","9,780","12,465","146,944","19","6","4,227","4,015","2,591","1,275","672","372","280","283","258","365","924","3,187","18,449","22","28,137","28,137","14,694.4","10,127.58","5,079","7,332","10,995","19,527","37,757","5,627.4","5,011.65","1,900","2,687","3,974","5,284","14,292","1,844.9","1,360.52","616","688","1,202","3,068","3,977","5,627.4","5,011.65","1,900","2,687","3,974","5,284","14,292","159","129","3.2","75.6","1.64","97","0.7519","31","0.32","97"
"Near North Side","170310802022002","Commercial","Commercial","118,966","105,373","103,749","98,067","155,385","245,339","273,952","274,500","134,797","119,526","137,120","147,228","1,914,002","507","80","91,241","72,533","56,162","33,251","21,460","6,880","7,214","7,219","7,209","18,734","42,978","87,228","452,109","4","568,167","568,167","638,000.7","494,737.23","79,720","79,720","812,227","1,022,055","1,022,055","189,389","165,689.07","10,880","10,880","219,030","338,257","338,257","150,703","246,852.46","3,162","3,162","13,263","435,684","435,684","189,389","165,689.07","10,880","10,880","219,030","338,257","338,257","712","589","19","45","1.3","549","0.932","158","0.288","549"
"Near North Side","170310802022002","Residential","Single Family","694","396","308","267","1,003","1,254","2,306","2,738","1,742","4,180","5,841","9,525","30,254","Less than 4","0","405","346","229","117","56","62","39","41","37","34","66","260","1,692","Less than 4","3,798","3,798","15,127","7,047.03","10,144","10,144","15,127","20,110","20,110","1,899","12.73","1,890","1,890","1,899","1,908","1,908","846","216.37","693","693","846","999","999","1,899","12.73","1,890","1,890","1,899","1,908","1,908","712","589","1","0","1.3","549","0.932","158","0.288","549"
"Near North Side","170310802023000","Commercial","Commercial","135,687","124,290","116,181","108,340","135,537","160,909","172,539","186,266","119,726","118,110","120,489","151,620","1,649,694","56","5","20,613","18,112","11,799","7,255","3,762","3,110","2,519","2,319","2,724","3,853","8,235","18,682","102,983","11","25,897","25,897","549,898","743,081.89","74,293","74,293","169,218","1,406,183","1,406,183","8,632.33","4,433.76","6,068","6,068","6,077","13,752","13,752","34,327.67","34,038.92","12,073","12,073","17,398","73,512","73,512","8,632.33","4,433.76","6,068","6,068","6,077","13,752","13,752","166","99","1","1.33","1.91","87","0.8787","5","0.057","87"
"Near North Side","170310802023000","Commercial","Multi 7+","37,719","40,757","41,211","39,846","54,258","73,736","86,309","86,769","47,507","43,169","40,633","50,643","642,557","39","2","20,721","18,112","12,921","7,963","3,787","1,466","4,655","1,748","2,273","5,238","11,131","19,595","109,610","Less than 4","124,104","124,104","642,557",,"642,557","642,557","642,557","642,557","642,557","124,104",,"124,104","124,104","124,104","124,104","124,104","109,610",,"109,610","109,610","109,610","109,610","109,610","124,104",,"124,104","124,104","124,104","124,104","124,104","166","99","15","84","1.91","87","0.8787","5","0.057","87"
"Near North Side","170310802023000","Residential","Multi < 7","19,025","17,719","14,985","11,035","15,798","17,043","21,263","21,738","10,069","12,742","21,324","28,114","210,855","9","10","4,548","4,541","2,912","1,492","906","385","404","389","376","433","1,456","3,277","21,119","7","30,142","30,142","35,142.5","40,813.42","360","3,676","16,829.5","77,460","95,700","5,023.67","2,296.02","2,918","3,516","4,390","5,738","9,190","3,017","1,374.11","1,322","1,825","3,392","3,875","5,247","5,023.67","2,296.02","2,918","3,516","4,390","5,738","9,190","166","99","3.33","112.83","1.91","87","0.8787","5","0.057","87"
"Near North Side","170310802023001","Commercial","Multi 7+","117,951","98,103","64,922","44,781","49,303","70,647","87,852","80,810","55,698","69,720","111,660","200,274","1,051,721","126","38","7,765","7,095","6,135","3,906","3,499","2,474","2,303","2,122","2,408","2,359","3,501","5,923","49,490","7","207,752","207,752","350,573.7","490,104.57","45,502","45,502","90,313","915,906","915,906","69,250.67","88,930.38","7,179","7,179","29,442","171,131","171,131","16,496.67","11,935.08","4,494","4,494","16,633","28,363","28,363","69,250.67","88,930.38","7,179","7,179","29,442","171,131","171,131","285","211","8","65.67","1.46","195","0.9242","142","0.728","195"
"Near North Side","170310802023001","Commercial","Multi < 7","1,689","1,208","799","680","875","1,568","2,060","2,024","800","755","960","2,008","15,426","5","2","649","640","460","233","113","73","54","52","50","67","160","466","3,017","5","3,420","3,420","15,426",,"15,426","15,426","15,426","15,426","15,426","3,420",,"3,420","3,420","3,420","3,420","3,420","3,017",,"3,017","3,017","3,017","3,017","3,017","3,420",,"3,420","3,420","3,420","3,420","3,420","285","211","3","129","1.46","195","0.9242","142","0.728","195"
"Near North Side","170310802023001","Residential","Single Family","5,203","4,468","4,338","6,440","7,213","10,368","11,742","18,342","5,668","5,567","10,888","12,305","102,542","10","0","1,684","1,380","936","424","423","170","255","132","238","154","462","1,071","7,329","10","4,035","4,035","51,271","4,572.15","48,038","48,038","51,271","54,504","54,504","2,017.5","222.74","1,860","1,860","2,017.5","2,175","2,175","3,664.5","1,352.70","2,708","2,708","3,664.5","4,621","4,621","2,017.5","222.74","1,860","1,860","2,017.5","2,175","2,175","285","211","1","0","1.46","195","0.9242","142","0.728","195"
"Near North Side","170310802023002","Residential","Multi < 7","3,323","3,779","3,541","3,115","4,149","6,897","6,976","6,610","3,790","3,253","3,543","4,477","53,453","7","1","1,737","1,547","1,082","583","330","187","139","133","117","188","388","1,321","7,752","8","12,017","12,017","26,726.5","10,950.96","18,983","18,983","26,726.5","34,470","34,470","6,008.5","615.89","5,573","5,573","6,008.5","6,444","6,444","3,876","463.86","3,548","3,548","3,876","4,204","4,204","6,008.5","615.89","5,573","5,573","6,008.5","6,444","6,444","148","84","3","115.5","1.8","82","0.9762","4","0.049","82"
"Near North Side","170310802023003","Commercial","Commercial","75,730","62,384","47,647","46,457","69,541","79,045","98,376","92,559","58,390","51,328","63,533","85,983","830,973","47","8","14,774","13,751","8,933","5,127","3,104","2,299","1,998","2,043","1,839","2,110","3,604","11,083","70,665","57","121,444","150,462","207,743.3","327,971.98","17,880","33,227","57,144","382,259.5","698,805","40,481.33","65,405.70","1,812","1,812","3,634","115,998","115,998","10,095","17,965.26","239","521","4,768","7,770","50,333","30,092.4","48,996.21","1,812","3,618","3,634","25,400","115,998","457","370","2.2","16","1.41","324","0.8756","132","0.407","324"
"Near North Side","170310802023003","Commercial","Multi < 7","25,158","19,323","14,175","9,077","8,330","8,503","8,991","9,620","6,724","9,444","16,184","25,992","161,521","11","4","705","681","453","272","153","73","48","49","49","61","116","476","3,136","4","12,844","3,516","80,760.5","100,319.36","9,824","9,824","80,760.5","151,697","151,697","6,422","4,109.70","3,516","3,516","6,422","9,328","9,328","3,136",,"3,136","3,136","3,136","3,136","3,136","3,516",,"3,516","3,516","3,516","3,516","3,516","457","370","4.5","55","1.41","324","0.8756","132","0.407","324"
"Near North Side","170310802023003","Residential","Single Family","144","1,023","3,302","3,414","4,481","3,756","9,001","10,761","5,754","4,549","2,234","2,849","51,268","6","2","923","834","487","262","127","65","50","60","61","73","153","682","3,777","5","4,155","4,155","25,634","13,392.60","16,164","16,164","25,634","35,104","35,104","2,077.5","1,516.74","1,005","1,005","2,077.5","3,150","3,150","1,888.5","1,414.92","888","888","1,888.5","2,889","2,889","2,077.5","1,516.74","1,005","1,005","2,077.5","3,150","3,150","457","370","1","0","1.41","324","0.8756","132","0.407","324"
"Near North Side","170310802023004","Commercial","Commercial","102,229","98,006","101,362","86,347","99,877","184,161","226,231","228,275","146,078","121,193","109,895","149,917","1,653,571","141","48","26,005","20,108","14,272","6,662","4,787","3,931","3,132","3,066","3,389","6,154","12,295","24,444","128,245","10","296,008","286,508","413,392.8","511,349.58","102,976","109,118","188,970","717,667.5","1,172,655","74,002","125,283.94","9,500","9,827.5","12,304.5","138,176.5","261,899","42,748.33","60,843.60","1,613","1,613","13,992","112,640","112,640","95,502.67","144,119.48","10,155","10,155","14,454","261,899","261,899","264","271","6","31","1.64","161","0.5941","81","0.503","161"
"Near North Side","170310802023004","Residential","Multi < 7","10,014","14,713","15,784","11,788","14,058","15,328","21,230","19,944","12,295","12,651","17,800","20,164","185,769","7","0","3,464","3,490","2,288","1,070","713","308","280","283","261","356","856","2,741","16,110","8","21,282","21,282","26,538.43","14,667.00","9,940","10,666","29,001","41,160","47,871","3,040.29","58.18","2,921","3,024","3,054","3,079","3,096","2,301.43","676.76","1,600","1,656","2,218","2,864","3,453","3,040.29","58.18","2,921","3,024","3,054","3,079","3,096","264","271","3","123.43","1.64","161","0.5941","81","0.503","161"
"Near North Side","170310802023004","Residential","Single Family","3,971","3,446","3,457","3,022","5,406","7,682","8,842","8,495","3,961","3,456","4,176","3,658","59,572","Less than 4","0","1,001","931","635","402","187","63","64","89","82","158","403","856","4,871","Less than 4","6,531","6,531","29,786","37,215.03","3,471","3,471","29,786","56,101","56,101","3,265.5","137.89","3,168","3,168","3,265.5","3,363","3,363","2,435.5","215.67","2,283","2,283","2,435.5","2,588","2,588","3,265.5","137.89","3,168","3,168","3,265.5","3,363","3,363","264","271","1","0","1.64","161","0.5941","81","0.503","161"
"Near North Side","170310802023005","Commercial","Commercial","240,378","212,843","156,090","149,762","200,161","243,720","228,402","225,761","177,742","150,455","217,915","287,087","2,490,316","10","1","10,324","8,337","6,353","4,611","3,952","3,769","3,778","4,132","3,447","4,003","5,874","9,493","68,073","12","104,792","104,792","622,579","651,685.81","68,338","120,884","467,962","1,124,274","1,486,054","26,198","30,585.72","9,015","9,757.5","11,888.5","42,638.5","72,000","17,018.25","12,163.18","6,412","9,843","13,557.5","24,193.5","34,546","26,198","30,585.72","9,015","9,757.5","11,888.5","42,638.5","72,000","409","343","5.25","34","1.29","318","0.927","234","0.736","318"
"Near North Side","170310802023005","Commercial","Multi 7+","274,772","240,084","173,778","152,465","199,371","274,627","266,882","266,597","175,490","154,847","247,703","350,188","2,776,804","111","27","25,353","20,310","16,489","10,513","7,396","6,032","5,360","5,218","6,274","8,592","14,990","24,505","151,032","28","490,895","490,895","555,360.8","812,943.31","5,146","6,913","22,185","910,709","1,831,851","163,631.7","157,880.05","23,182","23,182","133,201","334,512","334,512","30,206.4","34,764.35","76","127","25,331","41,775","83,723","163,631.7","157,880.05","23,182","23,182","133,201","334,512","334,512","409","343","13","97.67","1.29","318","0.927","234","0.736","318"
"Near North Side","170310802023005","Residential","Multi 7+","504","824","1,370","1,172","1,155","1,780","3,440","2,399","2,229","2,240","2,369","2,701","22,183","5","1","1,127","1,049","690","351","232","59","44","68","61","80","229","802","4,792","5","6,171","6,171","22,183",,"22,183","22,183","22,183","22,183","22,183","6,171",,"6,171","6,171","6,171","6,171","6,171","4,792",,"4,792","4,792","4,792","4,792","4,792","6,171",,"6,171","6,171","6,171","6,171","6,171","409","343","3","129","1.29","318","0.927","234","0.736","318"
"Near North Side","170310810006000","Residential","Multi < 7","0","0","0","106","475","1,256","4,156","3,708","2,256","1,843","3,891","4,009","21,700","5","8","242","565","205","127","58","56","50","55","53","68","279","699","2,457","4","1,601","1,601","21,700",,"21,700","21,700","21,700","21,700","21,700","1,601",,"1,601","1,601","1,601","1,601","1,601","2,457",,"2,457","2,457","2,457","2,457","2,457","1,601",,"1,601","1,601","1,601","1,601","1,601","65","81","1","0","1.12","58","0.716","58","1","58"
"Near North Side","170310803001000","Commercial","Commercial","4,080","3,960","3,600","3,200","3,520","3,880","6,120","4,960","3,640","5,600","6,280","6,260","55,100","Less than 4","0","1,980","1,859","1,299","713","443","175","106","107","85","230","264","1,343","8,604","4","15,730","15,730","27,550","31,239.98","5,460","5,460","27,550","49,640","49,640","7,865","4,617.41","4,600","4,600","7,865","11,130","11,130","4,302","1,025.30","3,577","3,577","4,302","5,027","5,027","7,865","4,617.41","4,600","4,600","7,865","11,130","11,130","105","60","3","27.5","1.94","54","0.9","16","0.296","54"
"Near North Side","170310803001000","Commercial","Multi < 7","8,808","38,897","34,983","25,339","19,414","19,418","23,038","44,453","19,771","18,529","23,503","29,290","305,443","17","10","4,431","4,264","2,274","1,426","1,031","375","256","273","241","464","1,322","3,645","20,002","11","39,887","35,288","50,907.17","52,339.83","14,286","23,555","30,532.5","52,217","154,320","6,647.83","3,712.76","3,321","4,599","5,497","7,229","13,744","4,000.4","3,099.18","1,454","1,701","2,074","7,332","7,441","7,057.6","3,996.43","3,321","5,100","5,894","7,229","13,744","105","60","3.33","94","1.94","54","0.9","16","0.296","54"
"Near North Side","170310803001000","Residential","Multi < 7","4,112","3,958","4,755","4,324","6,907","6,520","8,310","7,936","5,270","5,054","5,649","7,466","70,261","12","6","4,599","4,531","3,145","1,852","1,135","518","315","315","270","360","1,189","4,009","22,238","13","16,756","16,756","17,565.25","17,558.56","2,050","2,571","16,056","32,559.5","36,099","4,189","1,458.04","3,180","3,329","3,614","5,049","6,348","5,559.5","1,013.05","4,174","4,805","5,849","6,314","6,366","4,189","1,458.04","3,180","3,329","3,614","5,049","6,348","105","60","3.25","121.5","1.94","54","0.9","16","0.296","54"
"Near North Side","170310803001001","Commercial","Commercial","35,560","34,777","33,893","26,109","36,583","43,797","39,806","43,675","33,045","30,231","33,685","42,632","433,793","14","5","6,638","7,292","3,631","1,302","274","47","23","23","51","374","1,245","4,333","25,233","7","47,888","20,688","61,970.43","44,855.76","2,949","10,672","67,027","77,680","135,780","6,841.14","6,892.05","1,600","1,800","5,600","7,200","21,600","4,205.5","3,879.55","617","1,234","3,673.5","4,700","11,335","4,137.6","2,696.86","1,600","1,800","3,288","6,800","7,200","159","129","1.57","57.86","1.64","97","0.7519","31","0.32","97"
"Near North Side","170310803001001","Commercial","Multi 7+","54,158","52,310","47,637","58,893","74,127","109,961","102,856","106,448","66,765","58,099","68,440","71,943","871,637","75","19","15,493","12,252","10,124","6,450","4,490","2,093","1,511","1,562","2,317","3,709","8,040","13,362","81,403","81","183,363","183,363","871,637",,"871,637","871,637","871,637","871,637","871,637","183,363",,"183,363","183,363","183,363","183,363","183,363","81,403",,"81,403","81,403","81,403","81,403","81,403","183,363",,"183,363","183,363","183,363","183,363","183,363","159","129","15","20","1.64","97","0.7519","31","0.32","97"
"Near North Side","170310803001001","Commercial","Multi < 7","24,298","21,315","22,612","18,892","27,930","39,465","39,261","38,775","25,347","22,670","26,025","27,409","333,999","16","6","5,560","6,526","3,581","2,217","1,595","853","783","896","811","1,190","1,880","4,515","30,407","20","10,299","20,179","66,799.8","48,828.69","11,647","53,396","53,418","70,490","145,048","2,059.8","1,523.72","700","1,100","1,800","2,100","4,599","5,067.83","3,636.91","2,197","2,757","3,051","8,700","10,651","3,363.17","3,471.31","700","1,100","1,950","4,599","9,880","159","129","3.67","100.17","1.64","97","0.7519","31","0.32","97"
"Near North Side","170310803001001","Residential","Single Family","4,051","3,488","3,210","2,577","3,121","4,890","8,435","6,528","3,541","2,974","3,400","3,798","50,013","4","0","1,382","1,360","875","444","236","120","111","120","86","104","276","959","6,073","4","14,968","14,968","12,503.25","3,649.90","9,020","9,650.5","11,909","15,356","17,175","3,742","0.00","3,742","3,742","3,742","3,742","3,742","1,518.25","479.69","1,096","1,191.5","1,391","1,845","2,195","3,742","0.00","3,742","3,742","3,742","3,742","3,742","159","129","1","0","1.64","97","0.7519","31","0.32","97"
"Near North Side","170310803001002","Commercial","Multi < 7","52,011","45,664","35,580","52,098","63,044","72,804","141,218","118,371","66,664","60,599","74,700","74,420","857,173","158","140","23,371","24,582","16,451","7,250","4,313","2,255","1,726","2,615","2,552","5,236","6,887","19,362","116,600","304","43,503","43,503","857,173",,"857,173","857,173","857,173","857,173","857,173","43,503",,"43,503","43,503","43,503","43,503","43,503","116,600",,"116,600","116,600","116,600","116,600","116,600","43,503",,"43,503","43,503","43,503","43,503","43,503","311","290","1","0","1.21","258","0.8896","257","0.996","258"
"Near North Side","170310803001004","Commercial","Commercial","1,795","1,618","1,525","1,220","1,348","1,514","1,407","1,548","1,605","3,297","3,506","3,182","23,565","Less than 4","8","1,671","1,327","911","412","238","222","176","204","164","205","379","1,042","6,951","8","15,312","6,196","11,782.5","8,948.44","5,455","5,455","11,782.5","18,110","18,110","7,656","2,064.75","6,196","6,196","7,656","9,116","9,116","6,951",,"6,951","6,951","6,951","6,951","6,951","6,196",,"6,196","6,196","6,196","6,196","6,196","40","24","1.5","2","1.9","21","0.875","3","0.143","21"
"Near North Side","170310810002006","Residential","Single Family",,,,,,,,,,,,,,,"0","9,577","7,840","6,652","4,870","4,492","3,175","3,449","3,488","4,291","4,966","7,114","11,565","71,479","Less than 4",,"8,552",,,,,,,,,,,,,,,"71,479",,"71,479","71,479","71,479","71,479","71,479","8,552",,"8,552","8,552","8,552","8,552","8,552","0","0","1","0","0","0",,"0",,"0"
"Near North Side","170310803001004","Residential","Multi < 7","1,227","1,771","1,756","1,631","1,821","5,518","5,481","4,641","2,525","2,473","2,502","3,310","34,656","7","0","966","876","581","332","178","83","72","71","62","82","179","674","4,156","5","11,257","9,657","11,552","8,452.57","1,884","1,884","15,227","17,545","17,545","3,752.33","2,109.87","1,600","1,600","3,840","5,817","5,817","2,078","222.03","1,921","1,921","2,078","2,235","2,235","4,828.5","1,397.95","3,840","3,840","4,828.5","5,817","5,817","40","24","2.33","53.67","1.9","21","0.875","3","0.143","21"
